Sent Digits,Encoded Words,Received Loss Errors
"(1, 2)",HV0,"['000', '0V0', 'H00']"
"(2, 1)",V0H,"['000', '00H', 'V00']"
"(1, 12, 4, 2, 7)",HV00000000000V000H0V000000,"['00000000000000000000000000', '0000000000000000000V000000', '00000000000000000H00000000', '00000000000000000H0V000000', '0000000000000V000000000000', '0000000000000V00000V000000', '0000000000000V000H00000000', '0000000000000V000H0V000000', '0V000000000000000000000000', '0V00000000000000000V000000', '0V000000000000000H00000000', '0V000000000000000H0V000000', '0V00000000000V000000000000', '0V00000000000V00000V000000', '0V00000000000V000H00000000', '0V00000000000V000H0V000000', 'H0000000000000000000000000', 'H000000000000000000V000000', 'H0000000000000000H00000000', 'H0000000000000000H0V000000', 'H000000000000V000000000000', 'H000000000000V00000V000000', 'H000000000000V000H00000000', 'H000000000000V000H0V000000', 'HV000000000000000000000000', 'HV00000000000000000V000000', 'HV000000000000000H00000000', 'HV000000000000000H0V000000', 'HV00000000000V000000000000', 'HV00000000000V00000V000000', 'HV00000000000V000H00000000']"
"(1, 12, 4, 7, 2)",HV00000000000H000V000000V0,"['00000000000000000000000000', '000000000000000000000000V0', '00000000000000000V00000000', '00000000000000000V000000V0', '0000000000000H000000000000', '0000000000000H0000000000V0', '0000000000000H000V00000000', '0000000000000H000V000000V0', '0V000000000000000000000000', '0V0000000000000000000000V0', '0V000000000000000V00000000', '0V000000000000000V000000V0', '0V00000000000H000000000000', '0V00000000000H0000000000V0', '0V00000000000H000V00000000', '0V00000000000H000V000000V0', 'H0000000000000000000000000', 'H00000000000000000000000V0', 'H0000000000000000V00000000', 'H0000000000000000V000000V0', 'H000000000000H000000000000', 'H000000000000H0000000000V0', 'H000000000000H000V00000000', 'H000000000000H000V000000V0', 'HV000000000000000000000000', 'HV0000000000000000000000V0', 'HV000000000000000V00000000', 'HV000000000000000V000000V0', 'HV00000000000H000000000000', 'HV00000000000H0000000000V0', 'HV00000000000H000V00000000']"
"(1, 12, 7, 2, 4)",HV00000000000V000000H0V000,"['00000000000000000000000000', '0000000000000000000000V000', '00000000000000000000H00000', '00000000000000000000H0V000', '0000000000000V000000000000', '0000000000000V00000000V000', '0000000000000V000000H00000', '0000000000000V000000H0V000', '0V000000000000000000000000', '0V00000000000000000000V000', '0V000000000000000000H00000', '0V000000000000000000H0V000', '0V00000000000V000000000000', '0V00000000000V00000000V000', '0V00000000000V000000H00000', '0V00000000000V000000H0V000', 'H0000000000000000000000000', 'H000000000000000000000V000', 'H0000000000000000000H00000', 'H0000000000000000000H0V000', 'H000000000000V000000000000', 'H000000000000V00000000V000', 'H000000000000V000000H00000', 'H000000000000V000000H0V000', 'HV000000000000000000000000', 'HV00000000000000000000V000', 'HV000000000000000000H00000', 'HV000000000000000000H0V000', 'HV00000000000V000000000000', 'HV00000000000V00000000V000', 'HV00000000000V000000H00000']"
"(1, 12, 7, 4, 2)",HV00000000000V000000V000V0,"['00000000000000000000000000', '000000000000000000000000V0', '00000000000000000000V00000', '00000000000000000000V000V0', '0000000000000V000000000000', '0000000000000V0000000000V0', '0000000000000V000000V00000', '0000000000000V000000V000V0', '0V000000000000000000000000', '0V0000000000000000000000V0', '0V000000000000000000V00000', '0V000000000000000000V000V0', '0V00000000000V000000000000', '0V00000000000V0000000000V0', '0V00000000000V000000V00000', '0V00000000000V000000V000V0', 'H0000000000000000000000000', 'H00000000000000000000000V0', 'H0000000000000000000V00000', 'H0000000000000000000V000V0', 'H000000000000V000000000000', 'H000000000000V0000000000V0', 'H000000000000V000000V00000', 'H000000000000V000000V000V0', 'HV000000000000000000000000', 'HV0000000000000000000000V0', 'HV000000000000000000V00000', 'HV000000000000000000V000V0', 'HV00000000000V000000000000', 'HV00000000000V0000000000V0', 'HV00000000000V000000V00000']"
"(2, 1, 4, 7, 12)",V0HH000H000000V00000000000,"['00000000000000000000000000', '00000000000000V00000000000', '0000000H000000000000000000', '0000000H000000V00000000000', '000H0000000000000000000000', '000H0000000000V00000000000', '000H000H000000000000000000', '000H000H000000V00000000000', '00H00000000000000000000000', '00H00000000000V00000000000', '00H0000H000000000000000000', '00H0000H000000V00000000000', '00HH0000000000000000000000', '00HH0000000000V00000000000', '00HH000H000000000000000000', '00HH000H000000V00000000000', 'V0000000000000000000000000', 'V0000000000000V00000000000', 'V000000H000000000000000000', 'V000000H000000V00000000000', 'V00H0000000000000000000000', 'V00H0000000000V00000000000', 'V00H000H000000000000000000', 'V00H000H000000V00000000000', 'V0H00000000000000000000000', 'V0H00000000000V00000000000', 'V0H0000H000000000000000000', 'V0H0000H000000V00000000000', 'V0HH0000000000000000000000', 'V0HH0000000000V00000000000', 'V0HH000H000000000000000000']"
"(2, 1, 4, 12, 7)",V0HH000V00000000000V000000,"['00000000000000000000000000', '0000000000000000000V000000', '0000000V000000000000000000', '0000000V00000000000V000000', '000H0000000000000000000000', '000H000000000000000V000000', '000H000V000000000000000000', '000H000V00000000000V000000', '00H00000000000000000000000', '00H0000000000000000V000000', '00H0000V000000000000000000', '00H0000V00000000000V000000', '00HH0000000000000000000000', '00HH000000000000000V000000', '00HH000V000000000000000000', '00HH000V00000000000V000000', 'V0000000000000000000000000', 'V000000000000000000V000000', 'V000000V000000000000000000', 'V000000V00000000000V000000', 'V00H0000000000000000000000', 'V00H000000000000000V000000', 'V00H000V000000000000000000', 'V00H000V00000000000V000000', 'V0H00000000000000000000000', 'V0H0000000000000000V000000', 'V0H0000V000000000000000000', 'V0H0000V00000000000V000000', 'V0HH0000000000000000000000', 'V0HH000000000000000V000000', 'V0HH000V000000000000000000']"
"(2, 1, 7, 4, 12)",V0HV000000H000V00000000000,"['00000000000000000000000000', '00000000000000V00000000000', '0000000000H000000000000000', '0000000000H000V00000000000', '000V0000000000000000000000', '000V0000000000V00000000000', '000V000000H000000000000000', '000V000000H000V00000000000', '00H00000000000000000000000', '00H00000000000V00000000000', '00H0000000H000000000000000', '00H0000000H000V00000000000', '00HV0000000000000000000000', '00HV0000000000V00000000000', '00HV000000H000000000000000', '00HV000000H000V00000000000', 'V0000000000000000000000000', 'V0000000000000V00000000000', 'V000000000H000000000000000', 'V000000000H000V00000000000', 'V00V0000000000000000000000', 'V00V0000000000V00000000000', 'V00V000000H000000000000000', 'V00V000000H000V00000000000', 'V0H00000000000000000000000', 'V0H00000000000V00000000000', 'V0H0000000H000000000000000', 'V0H0000000H000V00000000000', 'V0HV0000000000000000000000', 'V0HV0000000000V00000000000', 'V0HV000000H000000000000000']"
"(2, 1, 7, 12, 4)",V0HH000000V00000000000V000,"['00000000000000000000000000', '0000000000000000000000V000', '0000000000V000000000000000', '0000000000V00000000000V000', '000H0000000000000000000000', '000H000000000000000000V000', '000H000000V000000000000000', '000H000000V00000000000V000', '00H00000000000000000000000', '00H0000000000000000000V000', '00H0000000V000000000000000', '00H0000000V00000000000V000', '00HH0000000000000000000000', '00HH000000000000000000V000', '00HH000000V000000000000000', '00HH000000V00000000000V000', 'V0000000000000000000000000', 'V000000000000000000000V000', 'V000000000V000000000000000', 'V000000000V00000000000V000', 'V00H0000000000000000000000', 'V00H000000000000000000V000', 'V00H000000V000000000000000', 'V00H000000V00000000000V000', 'V0H00000000000000000000000', 'V0H0000000000000000000V000', 'V0H0000000V000000000000000', 'V0H0000000V00000000000V000', 'V0HH0000000000000000000000', 'V0HH000000000000000000V000', 'V0HH000000V000000000000000']"
"(2, 1, 12, 4, 7)",V0HV00000000000H000V000000,"['00000000000000000000000000', '0000000000000000000V000000', '000000000000000H0000000000', '000000000000000H000V000000', '000V0000000000000000000000', '000V000000000000000V000000', '000V00000000000H0000000000', '000V00000000000H000V000000', '00H00000000000000000000000', '00H0000000000000000V000000', '00H000000000000H0000000000', '00H000000000000H000V000000', '00HV0000000000000000000000', '00HV000000000000000V000000', '00HV00000000000H0000000000', '00HV00000000000H000V000000', 'V0000000000000000000000000', 'V000000000000000000V000000', 'V00000000000000H0000000000', 'V00000000000000H000V000000', 'V00V0000000000000000000000', 'V00V000000000000000V000000', 'V00V00000000000H0000000000', 'V00V00000000000H000V000000', 'V0H00000000000000000000000', 'V0H0000000000000000V000000', 'V0H000000000000H0000000000', 'V0H000000000000H000V000000', 'V0HV0000000000000000000000', 'V0HV000000000000000V000000', 'V0HV00000000000H0000000000']"
"(2, 1, 12, 7, 4)",V0HV00000000000V000000V000,"['00000000000000000000000000', '0000000000000000000000V000', '000000000000000V0000000000', '000000000000000V000000V000', '000V0000000000000000000000', '000V000000000000000000V000', '000V00000000000V0000000000', '000V00000000000V000000V000', '00H00000000000000000000000', '00H0000000000000000000V000', '00H000000000000V0000000000', '00H000000000000V000000V000', '00HV0000000000000000000000', '00HV000000000000000000V000', '00HV00000000000V0000000000', '00HV00000000000V000000V000', 'V0000000000000000000000000', 'V000000000000000000000V000', 'V00000000000000V0000000000', 'V00000000000000V000000V000', 'V00V0000000000000000000000', 'V00V000000000000000000V000', 'V00V00000000000V0000000000', 'V00V00000000000V000000V000', 'V0H00000000000000000000000', 'V0H0000000000000000000V000', 'V0H000000000000V0000000000', 'V0H000000000000V000000V000', 'V0HV0000000000000000000000', 'V0HV000000000000000000V000', 'V0HV00000000000V0000000000']"
"(2, 4, 1, 7, 12)",H0V000HH000000V00000000000,"['00000000000000000000000000', '00000000000000V00000000000', '0000000H000000000000000000', '0000000H000000V00000000000', '000000H0000000000000000000', '000000H0000000V00000000000', '000000HH000000000000000000', '000000HH000000V00000000000', '00V00000000000000000000000', '00V00000000000V00000000000', '00V0000H000000000000000000', '00V0000H000000V00000000000', '00V000H0000000000000000000', '00V000H0000000V00000000000', '00V000HH000000000000000000', '00V000HH000000V00000000000', 'H0000000000000000000000000', 'H0000000000000V00000000000', 'H000000H000000000000000000', 'H000000H000000V00000000000', 'H00000H0000000000000000000', 'H00000H0000000V00000000000', 'H00000HH000000000000000000', 'H00000HH000000V00000000000', 'H0V00000000000000000000000', 'H0V00000000000V00000000000', 'H0V0000H000000000000000000', 'H0V0000H000000V00000000000', 'H0V000H0000000000000000000', 'H0V000H0000000V00000000000', 'H0V000HH000000000000000000']"
"(2, 4, 1, 12, 7)",H0V000HV00000000000V000000,"['00000000000000000000000000', '0000000000000000000V000000', '0000000V000000000000000000', '0000000V00000000000V000000', '000000H0000000000000000000', '000000H000000000000V000000', '000000HV000000000000000000', '000000HV00000000000V000000', '00V00000000000000000000000', '00V0000000000000000V000000', '00V0000V000000000000000000', '00V0000V00000000000V000000', '00V000H0000000000000000000', '00V000H000000000000V000000', '00V000HV000000000000000000', '00V000HV00000000000V000000', 'H0000000000000000000000000', 'H000000000000000000V000000', 'H000000V000000000000000000', 'H000000V00000000000V000000', 'H00000H0000000000000000000', 'H00000H000000000000V000000', 'H00000HV000000000000000000', 'H00000HV00000000000V000000', 'H0V00000000000000000000000', 'H0V0000000000000000V000000', 'H0V0000V000000000000000000', 'H0V0000V00000000000V000000', 'H0V000H0000000000000000000', 'H0V000H000000000000V000000', 'H0V000HV000000000000000000']"
"(2, 4, 7, 1, 12)",H0H000V000000HV00000000000,"['00000000000000000000000000', '00000000000000V00000000000', '0000000000000H000000000000', '0000000000000HV00000000000', '000000V0000000000000000000', '000000V0000000V00000000000', '000000V000000H000000000000', '000000V000000HV00000000000', '00H00000000000000000000000', '00H00000000000V00000000000', '00H0000000000H000000000000', '00H0000000000HV00000000000', '00H000V0000000000000000000', '00H000V0000000V00000000000', '00H000V000000H000000000000', '00H000V000000HV00000000000', 'H0000000000000000000000000', 'H0000000000000V00000000000', 'H000000000000H000000000000', 'H000000000000HV00000000000', 'H00000V0000000000000000000', 'H00000V0000000V00000000000', 'H00000V000000H000000000000', 'H00000V000000HV00000000000', 'H0H00000000000000000000000', 'H0H00000000000V00000000000', 'H0H0000000000H000000000000', 'H0H0000000000HV00000000000', 'H0H000V0000000000000000000', 'H0H000V0000000V00000000000', 'H0H000V000000H000000000000']"
"(2, 4, 7, 12, 1)",H0H000H000000V00000000000H,"['00000000000000000000000000', '0000000000000000000000000H', '0000000000000V000000000000', '0000000000000V00000000000H', '000000H0000000000000000000', '000000H000000000000000000H', '000000H000000V000000000000', '000000H000000V00000000000H', '00H00000000000000000000000', '00H0000000000000000000000H', '00H0000000000V000000000000', '00H0000000000V00000000000H', '00H000H0000000000000000000', '00H000H000000000000000000H', '00H000H000000V000000000000', '00H000H000000V00000000000H', 'H0000000000000000000000000', 'H000000000000000000000000H', 'H000000000000V000000000000', 'H000000000000V00000000000H', 'H00000H0000000000000000000', 'H00000H000000000000000000H', 'H00000H000000V000000000000', 'H00000H000000V00000000000H', 'H0H00000000000000000000000', 'H0H0000000000000000000000H', 'H0H0000000000V000000000000', 'H0H0000000000V00000000000H', 'H0H000H0000000000000000000', 'H0H000H000000000000000000H', 'H0H000H000000V000000000000']"
"(2, 4, 12, 1, 7)",H0H000V00000000000HV000000,"['00000000000000000000000000', '0000000000000000000V000000', '000000000000000000H0000000', '000000000000000000HV000000', '000000V0000000000000000000', '000000V000000000000V000000', '000000V00000000000H0000000', '000000V00000000000HV000000', '00H00000000000000000000000', '00H0000000000000000V000000', '00H000000000000000H0000000', '00H000000000000000HV000000', '00H000V0000000000000000000', '00H000V000000000000V000000', '00H000V00000000000H0000000', '00H000V00000000000HV000000', 'H0000000000000000000000000', 'H000000000000000000V000000', 'H00000000000000000H0000000', 'H00000000000000000HV000000', 'H00000V0000000000000000000', 'H00000V000000000000V000000', 'H00000V00000000000H0000000', 'H00000V00000000000HV000000', 'H0H00000000000000000000000', 'H0H0000000000000000V000000', 'H0H000000000000000H0000000', 'H0H000000000000000HV000000', 'H0H000V0000000000000000000', 'H0H000V000000000000V000000', 'H0H000V00000000000H0000000']"
"(2, 4, 12, 7, 1)",H0H000V00000000000V000000H,"['00000000000000000000000000', '0000000000000000000000000H', '000000000000000000V0000000', '000000000000000000V000000H', '000000V0000000000000000000', '000000V000000000000000000H', '000000V00000000000V0000000', '000000V00000000000V000000H', '00H00000000000000000000000', '00H0000000000000000000000H', '00H000000000000000V0000000', '00H000000000000000V000000H', '00H000V0000000000000000000', '00H000V000000000000000000H', '00H000V00000000000V0000000', '00H000V00000000000V000000H', 'H0000000000000000000000000', 'H000000000000000000000000H', 'H00000000000000000V0000000', 'H00000000000000000V000000H', 'H00000V0000000000000000000', 'H00000V000000000000000000H', 'H00000V00000000000V0000000', 'H00000V00000000000V000000H', 'H0H00000000000000000000000', 'H0H0000000000000000000000H', 'H0H000000000000000V0000000', 'H0H000000000000000V000000H', 'H0H000V0000000000000000000', 'H0H000V000000000000000000H', 'H0H000V00000000000V0000000']"
"(2, 7, 1, 4, 12)",H0V000000HH000V00000000000,"['00000000000000000000000000', '00000000000000V00000000000', '0000000000H000000000000000', '0000000000H000V00000000000', '000000000H0000000000000000', '000000000H0000V00000000000', '000000000HH000000000000000', '000000000HH000V00000000000', '00V00000000000000000000000', '00V00000000000V00000000000', '00V0000000H000000000000000', '00V0000000H000V00000000000', '00V000000H0000000000000000', '00V000000H0000V00000000000', '00V000000HH000000000000000', '00V000000HH000V00000000000', 'H0000000000000000000000000', 'H0000000000000V00000000000', 'H000000000H000000000000000', 'H000000000H000V00000000000', 'H00000000H0000000000000000', 'H00000000H0000V00000000000', 'H00000000HH000000000000000', 'H00000000HH000V00000000000', 'H0V00000000000000000000000', 'H0V00000000000V00000000000', 'H0V0000000H000000000000000', 'H0V0000000H000V00000000000', 'H0V000000H0000000000000000', 'H0V000000H0000V00000000000', 'H0V000000HH000000000000000']"
"(2, 7, 1, 12, 4)",H0V000000HV00000000000V000,"['00000000000000000000000000', '0000000000000000000000V000', '0000000000V000000000000000', '0000000000V00000000000V000', '000000000H0000000000000000', '000000000H000000000000V000', '000000000HV000000000000000', '000000000HV00000000000V000', '00V00000000000000000000000', '00V0000000000000000000V000', '00V0000000V000000000000000', '00V0000000V00000000000V000', '00V000000H0000000000000000', '00V000000H000000000000V000', '00V000000HV000000000000000', '00V000000HV00000000000V000', 'H0000000000000000000000000', 'H000000000000000000000V000', 'H000000000V000000000000000', 'H000000000V00000000000V000', 'H00000000H0000000000000000', 'H00000000H000000000000V000', 'H00000000HV000000000000000', 'H00000000HV00000000000V000', 'H0V00000000000000000000000', 'H0V0000000000000000000V000', 'H0V0000000V000000000000000', 'H0V0000000V00000000000V000', 'H0V000000H0000000000000000', 'H0V000000H000000000000V000', 'H0V000000HV000000000000000']"
"(2, 7, 4, 1, 12)",H0V000000V000HV00000000000,"['00000000000000000000000000', '00000000000000V00000000000', '0000000000000H000000000000', '0000000000000HV00000000000', '000000000V0000000000000000', '000000000V0000V00000000000', '000000000V000H000000000000', '000000000V000HV00000000000', '00V00000000000000000000000', '00V00000000000V00000000000', '00V0000000000H000000000000', '00V0000000000HV00000000000', '00V000000V0000000000000000', '00V000000V0000V00000000000', '00V000000V000H000000000000', '00V000000V000HV00000000000', 'H0000000000000000000000000', 'H0000000000000V00000000000', 'H000000000000H000000000000', 'H000000000000HV00000000000', 'H00000000V0000000000000000', 'H00000000V0000V00000000000', 'H00000000V000H000000000000', 'H00000000V000HV00000000000', 'H0V00000000000000000000000', 'H0V00000000000V00000000000', 'H0V0000000000H000000000000', 'H0V0000000000HV00000000000', 'H0V000000V0000000000000000', 'H0V000000V0000V00000000000', 'H0V000000V000H000000000000']"
"(2, 7, 4, 12, 1)",H0V000000H000V00000000000H,"['00000000000000000000000000', '0000000000000000000000000H', '0000000000000V000000000000', '0000000000000V00000000000H', '000000000H0000000000000000', '000000000H000000000000000H', '000000000H000V000000000000', '000000000H000V00000000000H', '00V00000000000000000000000', '00V0000000000000000000000H', '00V0000000000V000000000000', '00V0000000000V00000000000H', '00V000000H0000000000000000', '00V000000H000000000000000H', '00V000000H000V000000000000', '00V000000H000V00000000000H', 'H0000000000000000000000000', 'H000000000000000000000000H', 'H000000000000V000000000000', 'H000000000000V00000000000H', 'H00000000H0000000000000000', 'H00000000H000000000000000H', 'H00000000H000V000000000000', 'H00000000H000V00000000000H', 'H0V00000000000000000000000', 'H0V0000000000000000000000H', 'H0V0000000000V000000000000', 'H0V0000000000V00000000000H', 'H0V000000H0000000000000000', 'H0V000000H000000000000000H', 'H0V000000H000V000000000000']"
"(2, 7, 12, 1, 4)",H0H000000V00000000000HV000,"['00000000000000000000000000', '0000000000000000000000V000', '000000000000000000000H0000', '000000000000000000000HV000', '000000000V0000000000000000', '000000000V000000000000V000', '000000000V00000000000H0000', '000000000V00000000000HV000', '00H00000000000000000000000', '00H0000000000000000000V000', '00H000000000000000000H0000', '00H000000000000000000HV000', '00H000000V0000000000000000', '00H000000V000000000000V000', '00H000000V00000000000H0000', '00H000000V00000000000HV000', 'H0000000000000000000000000', 'H000000000000000000000V000', 'H00000000000000000000H0000', 'H00000000000000000000HV000', 'H00000000V0000000000000000', 'H00000000V000000000000V000', 'H00000000V00000000000H0000', 'H00000000V00000000000HV000', 'H0H00000000000000000000000', 'H0H0000000000000000000V000', 'H0H000000000000000000H0000', 'H0H000000000000000000HV000', 'H0H000000V0000000000000000', 'H0H000000V000000000000V000', 'H0H000000V00000000000H0000']"
"(2, 7, 12, 4, 1)",H0H000000V00000000000V000H,"['00000000000000000000000000', '0000000000000000000000000H', '000000000000000000000V0000', '000000000000000000000V000H', '000000000V0000000000000000', '000000000V000000000000000H', '000000000V00000000000V0000', '000000000V00000000000V000H', '00H00000000000000000000000', '00H0000000000000000000000H', '00H000000000000000000V0000', '00H000000000000000000V000H', '00H000000V0000000000000000', '00H000000V000000000000000H', '00H000000V00000000000V0000', '00H000000V00000000000V000H', 'H0000000000000000000000000', 'H000000000000000000000000H', 'H00000000000000000000V0000', 'H00000000000000000000V000H', 'H00000000V0000000000000000', 'H00000000V000000000000000H', 'H00000000V00000000000V0000', 'H00000000V00000000000V000H', 'H0H00000000000000000000000', 'H0H0000000000000000000000H', 'H0H000000000000000000V0000', 'H0H000000000000000000V000H', 'H0H000000V0000000000000000', 'H0H000000V000000000000000H', 'H0H000000V00000000000V0000']"
"(2, 12, 1, 4, 7)",H0V00000000000HH000V000000,"['00000000000000000000000000', '0000000000000000000V000000', '000000000000000H0000000000', '000000000000000H000V000000', '00000000000000H00000000000', '00000000000000H0000V000000', '00000000000000HH0000000000', '00000000000000HH000V000000', '00V00000000000000000000000', '00V0000000000000000V000000', '00V000000000000H0000000000', '00V000000000000H000V000000', '00V00000000000H00000000000', '00V00000000000H0000V000000', '00V00000000000HH0000000000', '00V00000000000HH000V000000', 'H0000000000000000000000000', 'H000000000000000000V000000', 'H00000000000000H0000000000', 'H00000000000000H000V000000', 'H0000000000000H00000000000', 'H0000000000000H0000V000000', 'H0000000000000HH0000000000', 'H0000000000000HH000V000000', 'H0V00000000000000000000000', 'H0V0000000000000000V000000', 'H0V000000000000H0000000000', 'H0V000000000000H000V000000', 'H0V00000000000H00000000000', 'H0V00000000000H0000V000000', 'H0V00000000000HH0000000000']"
"(2, 12, 1, 7, 4)",H0V00000000000HV000000V000,"['00000000000000000000000000', '0000000000000000000000V000', '000000000000000V0000000000', '000000000000000V000000V000', '00000000000000H00000000000', '00000000000000H0000000V000', '00000000000000HV0000000000', '00000000000000HV000000V000', '00V00000000000000000000000', '00V0000000000000000000V000', '00V000000000000V0000000000', '00V000000000000V000000V000', '00V00000000000H00000000000', '00V00000000000H0000000V000', '00V00000000000HV0000000000', '00V00000000000HV000000V000', 'H0000000000000000000000000', 'H000000000000000000000V000', 'H00000000000000V0000000000', 'H00000000000000V000000V000', 'H0000000000000H00000000000', 'H0000000000000H0000000V000', 'H0000000000000HV0000000000', 'H0000000000000HV000000V000', 'H0V00000000000000000000000', 'H0V0000000000000000000V000', 'H0V000000000000V0000000000', 'H0V000000000000V000000V000', 'H0V00000000000H00000000000', 'H0V00000000000H0000000V000', 'H0V00000000000HV0000000000']"
"(2, 12, 4, 1, 7)",H0V00000000000V000HV000000,"['00000000000000000000000000', '0000000000000000000V000000', '000000000000000000H0000000', '000000000000000000HV000000', '00000000000000V00000000000', '00000000000000V0000V000000', '00000000000000V000H0000000', '00000000000000V000HV000000', '00V00000000000000000000000', '00V0000000000000000V000000', '00V000000000000000H0000000', '00V000000000000000HV000000', '00V00000000000V00000000000', '00V00000000000V0000V000000', '00V00000000000V000H0000000', '00V00000000000V000HV000000', 'H0000000000000000000000000', 'H000000000000000000V000000', 'H00000000000000000H0000000', 'H00000000000000000HV000000', 'H0000000000000V00000000000', 'H0000000000000V0000V000000', 'H0000000000000V000H0000000', 'H0000000000000V000HV000000', 'H0V00000000000000000000000', 'H0V0000000000000000V000000', 'H0V000000000000000H0000000', 'H0V000000000000000HV000000', 'H0V00000000000V00000000000', 'H0V00000000000V0000V000000', 'H0V00000000000V000H0000000']"
"(2, 12, 4, 7, 1)",H0V00000000000H000V000000H,"['00000000000000000000000000', '0000000000000000000000000H', '000000000000000000V0000000', '000000000000000000V000000H', '00000000000000H00000000000', '00000000000000H0000000000H', '00000000000000H000V0000000', '00000000000000H000V000000H', '00V00000000000000000000000', '00V0000000000000000000000H', '00V000000000000000V0000000', '00V000000000000000V000000H', '00V00000000000H00000000000', '00V00000000000H0000000000H', '00V00000000000H000V0000000', '00V00000000000H000V000000H', 'H0000000000000000000000000', 'H000000000000000000000000H', 'H00000000000000000V0000000', 'H00000000000000000V000000H', 'H0000000000000H00000000000', 'H0000000000000H0000000000H', 'H0000000000000H000V0000000', 'H0000000000000H000V000000H', 'H0V00000000000000000000000', 'H0V0000000000000000000000H', 'H0V000000000000000V0000000', 'H0V000000000000000V000000H', 'H0V00000000000H00000000000', 'H0V00000000000H0000000000H', 'H0V00000000000H000V0000000']"
"(2, 12, 7, 1, 4)",H0V00000000000V000000HV000,"['00000000000000000000000000', '0000000000000000000000V000', '000000000000000000000H0000', '000000000000000000000HV000', '00000000000000V00000000000', '00000000000000V0000000V000', '00000000000000V000000H0000', '00000000000000V000000HV000', '00V00000000000000000000000', '00V0000000000000000000V000', '00V000000000000000000H0000', '00V000000000000000000HV000', '00V00000000000V00000000000', '00V00000000000V0000000V000', '00V00000000000V000000H0000', '00V00000000000V000000HV000', 'H0000000000000000000000000', 'H000000000000000000000V000', 'H00000000000000000000H0000', 'H00000000000000000000HV000', 'H0000000000000V00000000000', 'H0000000000000V0000000V000', 'H0000000000000V000000H0000', 'H0000000000000V000000HV000', 'H0V00000000000000000000000', 'H0V0000000000000000000V000', 'H0V000000000000000000H0000', 'H0V000000000000000000HV000', 'H0V00000000000V00000000000', 'H0V00000000000V0000000V000', 'H0V00000000000V000000H0000']"
"(2, 12, 7, 4, 1)",H0V00000000000V000000V000H,"['00000000000000000000000000', '0000000000000000000000000H', '000000000000000000000V0000', '000000000000000000000V000H', '00000000000000V00000000000', '00000000000000V0000000000H', '00000000000000V000000V0000', '00000000000000V000000V000H', '00V00000000000000000000000', '00V0000000000000000000000H', '00V000000000000000000V0000', '00V000000000000000000V000H', '00V00000000000V00000000000', '00V00000000000V0000000000H', '00V00000000000V000000V0000', '00V00000000000V000000V000H', 'H0000000000000000000000000', 'H000000000000000000000000H', 'H00000000000000000000V0000', 'H00000000000000000000V000H', 'H0000000000000V00000000000', 'H0000000000000V0000000000H', 'H0000000000000V000000V0000', 'H0000000000000V000000V000H', 'H0V00000000000000000000000', 'H0V0000000000000000000000H', 'H0V000000000000000000V0000', 'H0V000000000000000000V000H', 'H0V00000000000V00000000000', 'H0V00000000000V0000000000H', 'H0V00000000000V000000V0000']"
"(4, 1, 2, 7, 12)",V000HH0H000000V00000000000,"['00000000000000000000000000', '00000000000000V00000000000', '0000000H000000000000000000', '0000000H000000V00000000000', '00000H00000000000000000000', '00000H00000000V00000000000', '00000H0H000000000000000000', '00000H0H000000V00000000000', '0000H000000000000000000000', '0000H000000000V00000000000', '0000H00H000000000000000000', '0000H00H000000V00000000000', '0000HH00000000000000000000', '0000HH00000000V00000000000', '0000HH0H000000000000000000', '0000HH0H000000V00000000000', 'V0000000000000000000000000', 'V0000000000000V00000000000', 'V000000H000000000000000000', 'V000000H000000V00000000000', 'V0000H00000000000000000000', 'V0000H00000000V00000000000', 'V0000H0H000000000000000000', 'V0000H0H000000V00000000000', 'V000H000000000000000000000', 'V000H000000000V00000000000', 'V000H00H000000000000000000', 'V000H00H000000V00000000000', 'V000HH00000000000000000000', 'V000HH00000000V00000000000', 'V000HH0H000000000000000000']"
"(4, 1, 2, 12, 7)",V000HH0V00000000000V000000,"['00000000000000000000000000', '0000000000000000000V000000', '0000000V000000000000000000', '0000000V00000000000V000000', '00000H00000000000000000000', '00000H0000000000000V000000', '00000H0V000000000000000000', '00000H0V00000000000V000000', '0000H000000000000000000000', '0000H00000000000000V000000', '0000H00V000000000000000000', '0000H00V00000000000V000000', '0000HH00000000000000000000', '0000HH0000000000000V000000', '0000HH0V000000000000000000', '0000HH0V00000000000V000000', 'V0000000000000000000000000', 'V000000000000000000V000000', 'V000000V000000000000000000', 'V000000V00000000000V000000', 'V0000H00000000000000000000', 'V0000H0000000000000V000000', 'V0000H0V000000000000000000', 'V0000H0V00000000000V000000', 'V000H000000000000000000000', 'V000H00000000000000V000000', 'V000H00V000000000000000000', 'V000H00V00000000000V000000', 'V000HH00000000000000000000', 'V000HH0000000000000V000000', 'V000HH0V000000000000000000']"
